"id","date_part","cash_flow"
1,"2007","201536"
1,"2008","622936"
1,"2009","447727"
1,"2010","-563075"
1,"2011","274839"
1,"2012","-402921"
1,"2013","-2399869"
4,"2007","341"
4,"2008","-22956"
4,"2009","61638"
4,"2010","-114101"
4,"2011","-27277"
4,"2012","-665581"
4,"2013","105440"
4,"2014","-37110"
5,"2007","-49543486"
5,"2008","4328842"
5,"2009","8990619"
5,"2010","13929454"
5,"2011","-47571315"
5,"2012","58153317"
5,"2013","25487636"
7,"2007","1781890"
7,"2008","-1795165"
7,"2009","-1324671"
7,"2010","-436077"
7,"2011","-1145401"
7,"2012","-2288939"
7,"2013","-927225"
7,"2014","-307135"
13,"2007","408854"
13,"2008","80333"
14,"2007","-45765"
14,"2008","-173110"
14,"2009","25663"
15,"2007","-154256"
15,"2008","-492920"
15,"2009","-3274153"
15,"2010","3115953"
15,"2011","-1765317"
15,"2012","-148474"
15,"2013","-298074"
15,"2014","33921"
17,"2007","51159"
17,"2008","-252986"
17,"2009","-507466"
17,"2010","161056"
17,"2011","-50173"
17,"2012","28343"
17,"2013","-113195"
17,"2014","-1836"
18,"2007","266151"
18,"2008","1076427"
18,"2009","-767933"
18,"2010","-724839"
18,"2011","-726019"
18,"2012","-617191"
18,"2013","1323985"
18,"2014","-374751"
20,"2007","-765647"
20,"2008","-179947"
20,"2009","666120"
20,"2010","-613567"
20,"2011","1211100"
20,"2012","-762193"
20,"2013","333591"
20,"2014","-1581150"
21,"2013","296249"
23,"2007","32046"
23,"2008","-21109"
23,"2009","-289645"
23,"2010","74559"
23,"2011","19290"
23,"2012","158100"
23,"2013","57556"
23,"2014","-16810"
25,"2007","-8732"
25,"2014","35012"
28,"2007","1204573"
28,"2008","-1119568"
28,"2009","578003"
28,"2010","-616661"
28,"2011","130236"
28,"2012","-1689327"
28,"2013","-950597"
28,"2014","1795709"
36,"2007","33423"
36,"2008","-1132337"
36,"2009","-1333627"
36,"2010","77002"
36,"2011","-203484"
36,"2012","385365"
36,"2013","-36434"
36,"2014","-4571200"
40,"2007","-112321"
40,"2008","-2598"
40,"2009","-128706"
40,"2010","5058"
40,"2011","549122"
40,"2012","-517690"
40,"2013","-192470"
40,"2014","397621"
47,"2007","-4477981"
47,"2008","5188350"
47,"2009","-4848601"
47,"2010","4580736"
47,"2011","2676384"
47,"2012","-172474"
47,"2013","-50342"
47,"2014","856052"
52,"2007","42809"
52,"2008","-265297"
52,"2009","134145"
52,"2010","872391"
52,"2011","270285"
52,"2012","87574"
52,"2013","-3381813"
52,"2014","62508"
56,"2007","157046"
56,"2008","1028782"
56,"2009","-473381"
60,"2007","-19516638"
60,"2008","-4391973"
60,"2009","-2139797"
60,"2010","-9395406"
60,"2011","-4943123"
60,"2012","6112191"
60,"2013","4988810"
60,"2014","2148834"
63,"2007","-788028"
63,"2008","319794"
63,"2009","559453"
63,"2010","-7692"
63,"2011","86108"
65,"2007","-529389"
65,"2008","-391534"
65,"2009","-832974"
65,"2010","402374"
65,"2011","-856094"
65,"2012","-808434"
65,"2013","-365100"
65,"2014","415073"
66,"2007","52506"
66,"2008","315115"
66,"2009","379746"
66,"2010","-190999"
66,"2011","-528077"
66,"2012","1136324"
66,"2013","83232"
66,"2014","-123929"
70,"2007","-631672"
70,"2008","-429196"
70,"2009","25597"
71,"2007","180517"
71,"2008","245792"
71,"2009","102060"
71,"2010","-142411"
71,"2011","86218"
71,"2012","-63848"
71,"2013","-117565"
71,"2014","1405371"
74,"2007","94828"
74,"2008","211763"
74,"2009","2654702"
74,"2010","-933546"
74,"2011","792636"
74,"2012","-579297"
74,"2013","4662104"
74,"2014","8161980"
77,"2007","80247"
77,"2008","-9975"
77,"2009","-601597"
77,"2010","-305318"
77,"2011","-9054"
77,"2012","144752"
77,"2013","-671837"
77,"2014","36245"
84,"2007","-919411"
84,"2008","-9088601"
84,"2009","-3338356"
84,"2010","2108604"
92,"2008","-65594"
92,"2009","88140"
92,"2010","-476150"
99,"2007","81958"
100,"2011","4999087"
100,"2012","4371918"
100,"2013","2022502"
100,"2014","2486422"
106,"2007","-564330"
106,"2008","-18340"
106,"2009","-763329"
106,"2010","-593115"
106,"2011","1011928"
106,"2012","184367"
106,"2013","-510697"
106,"2014","-774105"
108,"2007","1275795"
108,"2008","687976"
110,"2007","-5284742"
110,"2008","6236460"
110,"2009","-2707916"
110,"2010","134956"
110,"2011","1130887"
110,"2012","-12046264"
110,"2013","677355"
110,"2014","-201866"
111,"2007","-1428295"
